pid,name,desc,price,supplier,src_list,app_list
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:1,Product_00001,W_b6e1e681 W_a12a3079 W_2296bd83 W_1ee506bf W_bee912d7 W_2dc9105c W_bee912d7 W_a12a3079 W_fc82aa6a W_90f6badc W_bee912d7 W_aa8f3faa W_3bf3c0a8 W_9548e00e W_aa2c9140 W_b6e1e681 W_2dc9105c W_2296bd83 W_1ee506bf W_bee912d7 W_262b0b07 W_4296d7d2 W_065a9b80 W_9eba1ab6 W_5c371147 W_4296d7d2 W_ad6b7038 W_19ac677a W_db732ecb W_262b0b07 W_b6e1e681 W_42a9137a W_fdb7cb8f W_7650487a W_bee912d7 W_262b0b07 W_3aed2c11 W_8dc09ebe W_efc6882b W_2dc9105c W_bee912d7 W_fc051a9f W_107baa8e W_3c12fa87 W_c11322c9 W_9eba1ab6 W_72ebfe28 W_6697e4f9 W_3777c73e W_4296d7d2 W_7b1568e6 W_cfb51be8 W_85fe5099 W_a9f94dcd W_2658040b W_47d68cd0 W_43307462 W_ad6b7038,4e-05,Supplier_001,"[""互联网/IT/电子/通信""]","[""IT-基础资源"", ""IT-网络安全"", ""交通-地图服务""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:8,Product_00003,W_b6e1e681 W_a12a3079 W_2296bd83 W_1ee506bf W_bee912d7 W_2dc9105c W_bee912d7 W_a12a3079 W_fc82aa6a W_90f6badc W_bee912d7 W_692e9266 W_3bf3c0a8 W_9548e00e W_aa2c9140 W_b6e1e681 W_2dc9105c W_2296bd83 W_1ee506bf W_bee912d7 W_262b0b07 W_4296d7d2 W_065a9b80 W_9eba1ab6 W_5c371147 W_4296d7d2 W_ad6b7038 W_19ac677a W_db732ecb W_262b0b07 W_b6e1e681 W_42a9137a W_fdb7cb8f W_7650487a W_bee912d7 W_262b0b07 W_3aed2c11 W_8dc09ebe W_efc6882b W_2dc9105c W_bee912d7 W_3c12fa87 W_c11322c9 W_9eba1ab6 W_72ebfe28 W_6697e4f9 W_3777c73e W_4296d7d2 W_7b1568e6 W_cfb51be8 W_85fe5099 W_a9f94dcd W_2658040b W_47d68cd0 W_43307462 W_ad6b7038,4e-05,Supplier_001,"[""互联网/IT/电子/通信""]","[""IT-基础资源"", ""IT-网络安全"", ""交通-地图服务""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:58,Product_00023,W_8098e2b4 W_bee912d7 W_92448a35 W_2296bd83 W_1ee506bf W_bee912d7 W_92448a35 W_d8c7e04c W_bee912d7 W_9548e00e W_aa2c9140 W_9548e00e W_aa2c9140 W_4296d7d2 W_065a9b80 W_9eba1ab6 W_5c371147 W_4296d7d2 W_ad6b7038 W_19ac677a W_db732ecb W_b6bd56e6 W_bfe89b65 W_92448a35 W_68d982a1 W_86042706 W_f6f77a49 W_92448a35 W_2296bd83 W_1ee506bf W_bee912d7 W_f35366b9 W_227dd1db W_8818d483 W_149e9677 W_7e7757b1 W_8d5e957f W_11ccee3a W_5a631c6c W_b6ad2e2c W_a7ead114 W_92448a35 W_2296bd83 W_1ee506bf W_d8c7e04c W_e13556bb W_5ea217d3 W_f82beddc W_47c76220 W_f7b3204e W_11ccee3a W_d8c7e04c W_3c12fa87 W_c11322c9 W_32ac152b W_1fce9585 W_3777c73e W_4296d7d2 W_7b1568e6 W_cfb51be8 W_85fe5099 W_a9f94dcd W_2658040b W_47d68cd0 W_43307462 W_22961df1 W_7b1d15e5 W_c4ca4238 W_44eff73c,4e-05,Supplier_001,"[""互联网/IT/电子/通信""]","[""IT-基础资源"", ""交通-地图服务"", ""营销-精准获客""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:81,Product_00033,W_0976ba90 W_ca746b1f W_72eff852 W_77426762 W_72eff852 W_77426762 W_f529c51e W_ca746b1f W_72eff852 W_77426762 W_7ab147fc W_f529c51e W_ca746b1f W_72eff852 W_9fda5b20 W_72eff852 W_eefea2e8 W_8392cae7 W_77426762 W_01d7aa49 W_8f8ed0e3 W_bb114ab9 W_c78a5227 W_d87f215d W_226b0912 W_a87ff679 W_930882bb W_cfb5f18c W_f801ebcf W_77426762 W_72eff852 W_47d68cd0 W_9fda5b20 W_72eff852 W_eefea2e8 W_8392cae7 W_77426762 W_01d7aa49 W_8f8ed0e3 W_bb114ab9 W_c78a5227 W_d87f215d W_226b0912 W_a87ff679 W_930882bb W_cfb5f18c W_f801ebcf W_2bc7adbb W_3e674c70 W_60f89aac W_a7d3091f W_293a3516 W_b7158a42 W_802a181d W_26b59f52 W_d473a7b0 W_d6838766 W_11ccee3a W_c931653c,0.02,Supplier_001,"[""批发和零售业"", ""金融业"", ""租赁和商务服务业""]","[""AI-数据服务"", ""金融-支付结算""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:85,Product_00037,W_0976ba90 W_ca746b1f W_72eff852 W_f33656e1 W_72eff852 W_f33656e1 W_f529c51e W_ca746b1f W_72eff852 W_f33656e1 W_7ab147fc W_f33656e1 W_1dab23f3 W_72eff852 W_f529c51e W_ca746b1f W_72eff852 W_4b4c522a W_72eff852 W_0f694edc W_69bb86c9 W_717e6423 W_01d7aa49 W_a8b0c204 W_c9f0f895 W_930882bb W_a95dbb0e W_f801ebcf W_7ca63c99 W_c4865b1d W_f33656e1 W_ecff77a8 W_c931653c W_aed1dfbc W_00447bbe W_2a6eb2dd W_9caecd93 W_01d7aa49 W_72eff852 W_e6cefb85 W_f33656e1 W_72eff852 W_47d68cd0 W_4aebcc5f W_f63762a0 W_4b4c522a W_01d7aa49 W_0cc05f42 W_20def794 W_aed1dfbc W_a10fa763 W_f33656e1 W_20def794 W_d3ce40d8 W_65698012 W_72eff852 W_262b0b07 W_0f694edc W_69bb86c9 W_1dab23f3 W_9a7b52fc W_c9f0f895 W_930882bb W_a95dbb0e W_f801ebcf W_9fda5b20 W_72eff852 W_2bc7adbb W_3e674c70 W_0375083d W_c95211a5 W_1fd02a90 W_293a3516 W_d8c7e04c W_4aebcc5f W_5b0520a9 W_3e674c70 W_60f89aac W_b73b757f W_802a181d W_14b567d8 W_7bbe8e2f W_11ccee3a W_c931653c,0.02,Supplier_001,"[""公共管理、社会保障和社会组织"", ""批发和零售业"", ""金融业"", ""文化、体育和娱乐业""]","[""交通-地图服务"", ""AI-数据服务"", ""金融-身份核验""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:101,Product_00048,W_0976ba90 W_ca746b1f W_72eff852 W_976e2e5a W_72eff852 W_976e2e5a W_f529c51e W_ca746b1f W_72eff852 W_976e2e5a W_7ab147fc W_976e2e5a W_4d1dbd72 W_a4fb8425 W_72eff852 W_f529c51e W_ca746b1f W_72eff852 W_4b4c522a W_72eff852 W_976e2e5a W_ca56842c W_e1df1c39 W_48718fec W_5fccd018 W_9a7b52fc W_9bf31c7f W_930882bb W_a95dbb0e W_f801ebcf W_d6b3899a W_4af9dc31 W_c931653c W_3850a186 W_f63762a0 W_fc16b1f0 W_2a6eb2dd W_a95dbb0e W_f801ebcf W_d8c7e04c W_c4865b1d W_a6238175 W_5b0520a9 W_e6cefb85 W_976e2e5a W_72eff852 W_47d68cd0 W_9fda5b20 W_72eff852 W_95c1c749 W_976e2e5a W_ca56842c W_e1df1c39 W_48718fec W_5fccd018 W_9a7b52fc W_9bf31c7f W_930882bb W_a95dbb0e W_f801ebcf W_3ffa1df2 W_d32bfe6d W_60d0458a W_787b5677 W_d96c0eae W_af79f53a W_abbe4bb4 W_db29ba35 W_04030e59 W_4ff1e74e W_e9e5a290 W_030114f9 W_a9b8950a W_2635e15b W_47b2cfa2 W_f2996845 W_20211b40 W_c515f338 W_11ccee3a,0.02,Supplier_001,"[""其他""]","[""AI-数据服务"", ""交通-智慧出行"", ""营销-用户画像"", ""商业-车辆估值与交易""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:321,Product_00236,W_77426762 W_2d8be272 W_eb67d8e4 W_c81e728d W_eb67d8e4 W_77426762 W_91f0b574 W_eccbc87e W_eb67d8e4 W_77426762 W_21716cf3 W_eb67d8e4 W_a87ff679 W_eb67d8e4 W_4d61e000 W_8682c873 W_77426762 W_f984fb6a W_b7158a42 W_77426762 W_77426762 W_2d8be272 W_eb67d8e4 W_77426762 W_91f0b574 W_77426762 W_21716cf3 W_eb67d8e4 W_4d61e000 W_8682c873 W_23c1f399 W_d6eea357 W_00447bbe W_77426762 W_f7b3204e W_60d0458a W_32ffa250 W_92448a35 W_01d7aa49 W_4d61e000 W_8682c873 W_77426762 W_df570fc7 W_293a3516 W_d8c7e04c W_01d7aa49 W_0c9c149a W_6721039b W_f5c3795b W_ebee0533 W_2843e2f6 W_e0e75506 W_0d830788 W_ac44b600 W_777fda6c W_a39cf1ca W_21157cbf W_8ab800b2 W_8aa9de4e W_d8c7e04c W_cd8992b6 W_4a27f616 W_b37c8f13 W_0d830788 W_85cd0c24,0.3,Supplier_001,"[""互联网/IT/电子/通信"", ""公共管理、社会保障和社会组织"", ""金融业"", ""租赁和商务服务业""]","[""营销-精准获客"", ""金融-身份核验""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:423,Product_00327,W_f33656e1 W_91f0b574 W_4d61e000 W_8682c873 W_50f12b71 W_d6eea357 W_00447bbe W_f2cbe035 W_d6eea357 W_00447bbe W_edc751e1 W_d6eea357 W_00447bbe W_f33656e1 W_f984fb6a W_8682c873 W_f33656e1 W_f984fb6a W_b7158a42 W_f33656e1 W_f984fb6a W_b7579706 W_293a3516 W_91f0b574 W_4d61e000 W_8682c873 W_f33656e1 W_f984fb6a W_8682c873 W_23c1f399 W_a8407753 W_60d0458a W_32ffa250 W_f2cbe035 W_d2fb1e3e W_3b04598b W_449159d7 W_90f6badc W_f33656e1 W_4c50eef3 W_5fb0d006 W_b05ec8fc W_d6eea357 W_00447bbe W_8682c873 W_8682c873 W_293a3516 W_d8c7e04c W_01d7aa49 W_0c9c149a W_5f411223 W_d6eea357 W_00447bbe W_021cc71d W_6721039b W_f5c3795b W_ebee0533 W_2843e2f6 W_e0e75506 W_0d830788 W_ac44b600 W_777fda6c W_a39cf1ca W_21157cbf W_8ab800b2 W_8aa9de4e W_d8c7e04c W_cd8992b6 W_4a27f616 W_b37c8f13 W_0d830788 W_26efc992,0.25,Supplier_001,"[""公共管理、社会保障和社会组织"", ""租赁和商务服务业""]","[""金融-身份核验""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:467,Product_00368,W_f33656e1 W_2d8be272 W_eb67d8e4 W_4d61e000 W_8682c873 W_f33656e1 W_f984fb6a W_8682c873 W_f33656e1 W_f984fb6a W_b7158a42 W_f33656e1 W_f984fb6a W_b7579706 W_f33656e1 W_b7158a42 W_8682c873 W_f33656e1 W_2d8be272 W_eb67d8e4 W_4d61e000 W_8682c873 W_f33656e1 W_f984fb6a W_8682c873 W_23c1f399 W_d6eea357 W_00447bbe W_60d0458a W_32ffa250 W_01d7aa49 W_4d61e000 W_8682c873 W_293a3516 W_d8c7e04c W_01d7aa49 W_0c9c149a W_6721039b W_f5c3795b W_ebee0533 W_2843e2f6 W_e0e75506 W_0d830788 W_ac44b600 W_777fda6c W_a39cf1ca W_21157cbf W_8ab800b2 W_8aa9de4e W_d8c7e04c W_cd8992b6 W_4a27f616 W_b37c8f13 W_0d830788 W_26efc992,0.08,Supplier_001,"[""公共管理、社会保障和社会组织"", ""租赁和商务服务业""]","[""金融-身份核验""]"
4:784e4e6f-18b6-498b-b6c0-dfa9d9aedd11:1048,Product_00929,W_b6e1e681 W_a12a3079 W_2296bd83 W_1ee506bf W_bee912d7 W_2dc9105c W_bee912d7 W_fdb7cb8f W_7650487a W_bee912d7 W_a12a3079 W_fc82aa6a W_90f6badc W_bee912d7 W_a12a3079 W_50d4a850 W_90f6badc W_bee912d7 W_a8f2095c W_a9f94dcd W_50d4a850 W_bee912d7 W_9548e00e W_aa2c9140 W_9548e00e W_aa2c9140 W_4296d7d2 W_065a9b80 W_4296d7d2 W_ad6b7038 W_19ac677a W_db732ecb W_262b0b07 W_fdb7cb8f W_7650487a W_bee912d7 W_f35366b9 W_b6e1e681 W_2dc9105c W_262b0b07 W_3aed2c11 W_8dc09ebe W_efc6882b W_2dc9105c W_bee912d7 W_a7ead114 W_2dc9105c W_bee912d7 W_2296bd83 W_1ee506bf W_d8c7e04c W_e13556bb W_ee3f5585 W_3d14d1a1 W_371528ff W_ab20cc42 W_f82beddc W_11ccee3a W_d8c7e04c W_3c12fa87 W_c11322c9 W_32ac152b W_1fce9585 W_3777c73e W_4296d7d2 W_7b1568e6 W_cfb51be8 W_85fe5099 W_a9f94dcd W_2658040b W_47d68cd0 W_43307462,4e-05,Supplier_001,"[""互联网/IT/电子/通信""]","[""IT-基础资源"", ""IT-网络安全"", ""交通-地图服务""]"
